[rosmaster.main][INFO] 2022-08-03 23:15:24,525: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-08-03 23:15:24,525: Starting ROS Master Node
[xmlrpc][INFO] 2022-08-03 23:15:24,526: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-08-03 23:15:24,526: Started XML-RPC server [http://ameyasu-VJS112:11311/]
[rosmaster.master][INFO] 2022-08-03 23:15:24,526: Master initialized: port[11311], uri[http://ameyasu-VJS112:11311/]
[xmlrpc][INFO] 2022-08-03 23:15:24,526: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-08-03 23:15:24,566: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-08-03 23:15:24,567: +PARAM [/roslaunch/uris/host_ameyasu_vjs112__35955] by /roslaunch
[rosmaster.master][INFO] 2022-08-03 23:15:24,624: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-08-03 23:15:24,624: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-08-03 23:15:24,634: +SERVICE [/rosout/get_loggers] /rosout http://ameyasu-VJS112:46167/
[rosmaster.master][INFO] 2022-08-03 23:15:24,634: +SERVICE [/rosout/set_logger_level] /rosout http://ameyasu-VJS112:46167/
[rosmaster.master][INFO] 2022-08-03 23:15:24,635: +PUB [/rosout_agg] /rosout http://ameyasu-VJS112:46167/
[rosmaster.master][INFO] 2022-08-03 23:15:24,637: +SUB [/rosout] /rosout http://ameyasu-VJS112:46167/
[rosmaster.master][INFO] 2022-08-03 23:15:31,346: -PUB [/rosout_agg] /rosout http://ameyasu-VJS112:46167/
[rosmaster.master][INFO] 2022-08-03 23:15:31,346: -SUB [/rosout] /rosout http://ameyasu-VJS112:46167/
[rosmaster.master][INFO] 2022-08-03 23:15:31,347: -SERVICE [/rosout/get_loggers] /rosout rosrpc://ameyasu-VJS112:34383
[rosmaster.master][INFO] 2022-08-03 23:15:31,347: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://ameyasu-VJS112:34383
[rosmaster.main][INFO] 2022-08-03 23:15:31,392: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-08-03 23:15:31,392: stopping master...
[rospy.core][INFO] 2022-08-03 23:15:31,392: signal_shutdown [atexit]
