[rosmaster.main][INFO] 2022-08-03 23:15:44,044: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-08-03 23:15:44,044: Starting ROS Master Node
[xmlrpc][INFO] 2022-08-03 23:15:44,045: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-08-03 23:15:44,045: Started XML-RPC server [http://ameyasu-VJS112:11311/]
[rosmaster.master][INFO] 2022-08-03 23:15:44,045: Master initialized: port[11311], uri[http://ameyasu-VJS112:11311/]
[xmlrpc][INFO] 2022-08-03 23:15:44,045: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-08-03 23:15:44,134: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-08-03 23:15:44,136: +PARAM [/roslaunch/uris/host_ameyasu_vjs112__37033] by /roslaunch
[rosmaster.master][INFO] 2022-08-03 23:15:44,200: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-08-03 23:15:44,200: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-08-03 23:15:44,210: +SERVICE [/rosout/get_loggers] /rosout http://ameyasu-VJS112:36063/
[rosmaster.master][INFO] 2022-08-03 23:15:44,211: +SERVICE [/rosout/set_logger_level] /rosout http://ameyasu-VJS112:36063/
[rosmaster.master][INFO] 2022-08-03 23:15:44,212: +PUB [/rosout_agg] /rosout http://ameyasu-VJS112:36063/
[rosmaster.master][INFO] 2022-08-03 23:15:44,214: +SUB [/rosout] /rosout http://ameyasu-VJS112:36063/
[rosmaster.master][INFO] 2022-08-03 23:18:14,308: -PUB [/rosout_agg] /rosout http://ameyasu-VJS112:36063/
[rosmaster.master][INFO] 2022-08-03 23:18:14,309: -SUB [/rosout] /rosout http://ameyasu-VJS112:36063/
[rosmaster.master][INFO] 2022-08-03 23:18:14,309: -SERVICE [/rosout/get_loggers] /rosout rosrpc://ameyasu-VJS112:45051
[rosmaster.master][INFO] 2022-08-03 23:18:14,309: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://ameyasu-VJS112:45051
[rosmaster.main][INFO] 2022-08-03 23:18:14,333: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-08-03 23:18:14,333: stopping master...
[rospy.core][INFO] 2022-08-03 23:18:14,333: signal_shutdown [atexit]
